checked_at,player_name,transfermarkt_team,position,market_value_eur,mws_name,event_name,labels,current_bid_eur,current_bid_usd,end_date_utc,slug,url
2026-09-16T13:14:33.516353+00:00,Adrian Przyborek,Pogon Szczecin,Attacking Midfield,7000000,Adrian Przyborek,Udinese Calcio - S.S. Lazio,"Issued, Signed",110,127,2026-09-16T16:00:00Z,adrian-przyborek-kZF1U8unsEmSwmpY6RmpZA,https://mws.com/us/product/adrian-przyborek-kZF1U8unsEmSwmpY6RmpZA
2026-09-16T13:14:33.516353+00:00,Wael Mohya,Borussia Mönchengladbach U17,Attacking Midfield,2500000,Wael Mohya,Borussia Mönchengladbach - Elversberg,"Issued, Signed",190,220,2026-09-16T16:00:00Z,wael-mohya-33CK9G57gU-7aDN0Rhe1fg-78,https://mws.com/us/product/wael-mohya-33CK9G57gU-7aDN0Rhe1fg-78
2026-09-16T13:14:33.516353+00:00,Vasilije Kostov,Red Star Belgrade,Attacking Midfield,10000000,Vasilije Kostov,FK Crvena zvezda - FK Partizan,"Worn, Signed",186,214,2026-09-16T16:30:00Z,vasilije-kostov-kh1o26ipy0y9vWdDZESGjQ,https://mws.com/us/product/vasilije-kostov-kh1o26ipy0y9vWdDZESGjQ
2026-09-16T13:14:33.516353+00:00,Tylel Tati,FC Nantes B,Centre-Back,12000000,Tylel Tati,FC Nantes - Nancy,"Issued, Signed",131,153,2026-09-16T18:00:00Z,tylel-tati-0KBhcirB-0iKn-TWIUuyog,https://mws.com/us/product/tylel-tati-0KBhcirB-0iKn-TWIUuyog
2026-09-16T13:14:33.516353+00:00,Josh King,Fulham FC,Attacking Midfield,20000000,Josh King,Fulham - Crystal Palace,"Worn, Signed",365,420,2026-09-16T19:00:00Z,josh-king-wBY9V2hxrkO61IK5Q_W5zQ,https://mws.com/us/product/josh-king-wBY9V2hxrkO61IK5Q_W5zQ
2026-09-16T13:14:33.516353+00:00,Dro Fernández,FC Barcelona UEFA U19,Attacking Midfield,10000000,Dro Fernández,Paris Saint-Germain - Slovan Bratislava,"Worn, Signed",496,573,2026-09-17T14:00:00Z,dro-fernandez-ulM4WV6BUEKYUyPOQIzSlA,https://mws.com/us/product/dro-fernandez-ulM4WV6BUEKYUyPOQIzSlA
2026-09-16T13:14:33.516353+00:00,Quentin Ndjantou,Paris Saint-Germain U19,Left Winger,7000000,Quentin Ndjantou,Paris Saint-Germain - Slovan Bratislava,"Issued, Signed",269,311,2026-09-17T14:00:00Z,quentin-ndjantou-FvzEkWuZ7UaAeI-Bt4-G9Q,https://mws.com/us/product/quentin-ndjantou-FvzEkWuZ7UaAeI-Bt4-G9Q
2026-09-16T13:14:33.516353+00:00,Matias Siltanen,Djurgårdens IF,Central Midfield,3500000,Matias Siltanen,Haninge - Djurgården,"Issued, Signed",66,77,2026-09-18T16:00:00Z,matias-siltanen-RU6eJHbq4UqXcNj9curHZQ,https://mws.com/us/product/matias-siltanen-RU6eJHbq4UqXcNj9curHZQ
2026-09-16T13:14:33.516353+00:00,Franco Mastantuono,CA River Plate,Right Winger,50000000,Franco Mastantuono,Venezia FC - ACF Fiorentina,"Worn, Signed",1214,1402,2026-09-18T16:30:00Z,franco-mastantuono-sUDXceaFT0Ca5yg9Xs_70w,https://mws.com/us/product/franco-mastantuono-sUDXceaFT0Ca5yg9Xs_70w
2026-09-16T13:14:33.516353+00:00,Mihajlo Cvetkovic,FK Cukaricki,Centre-Forward,6000000,Mihajlo Cvetkovic,RSC Anderlecht - KV Kortrijk,"Worn, Signed",170,198,2026-09-18T18:30:00Z,mihajlo-cvetkovic-FERH3FjCt0qIXUgiSG7cFw,https://mws.com/us/product/mihajlo-cvetkovic-FERH3FjCt0qIXUgiSG7cFw
2026-09-16T13:14:33.516353+00:00,Lucca Brughmans,Jong Genk,Goalkeeper,1000000,Lucca Brughmans,KRC Genk - KAA Gent,"Worn, Signed",260,302,2026-09-19T14:00:00Z,lucca-brughmans-kUt0D-W1FESILfRVipCNrw,https://mws.com/us/product/lucca-brughmans-kUt0D-W1FESILfRVipCNrw
2026-09-16T13:14:33.516353+00:00,Estêvão,Sociedade Esportiva Palmeiras,Right Winger,80000000,Estêvão,Chelsea - Leeds United,"Worn, Signed",892,1029,2026-09-19T18:00:00Z,estevao-EE2HnliVb0CF1DCJ8U_0zg,https://mws.com/us/product/estevao-EE2HnliVb0CF1DCJ8U_0zg
2026-09-16T13:14:33.516353+00:00,Semm Renders,Royal Antwerp FC,Right-Back,1500000,Semm Renders,Club Brugge - Royal Antwerp FC,"Worn, Signed",66,77,2026-09-20T11:30:00Z,semm-renders-XWI4EDqAZUKucnecxX_tuA,https://mws.com/us/product/semm-renders-XWI4EDqAZUKucnecxX_tuA
2026-09-16T13:14:33.516353+00:00,Matias Siltanen,Djurgårdens IF,Central Midfield,3500000,Matias Siltanen,Djurgården - GAIS,"Worn, Signed",65,76,2026-09-20T14:00:00Z,matias-siltanen-sMiaHtJOCk6NAUxFIWv1KA,https://mws.com/us/product/matias-siltanen-sMiaHtJOCk6NAUxFIWv1KA
