checked_at,player_name,transfermarkt_team,position,market_value_eur,mws_name,event_name,labels,current_bid_eur,current_bid_usd,end_date_utc,slug,url
2026-09-16T13:14:19.512964+00:00,Abdul Fatawu,Leicester City,Right Winger,20000000,Abdul Fatawu ,Ipswich Town - Liverpool,"Issued, Signed",156,179,2026-09-16T14:00:00Z,abdul-fatawu-A30iGgD9yEupdTKdmoAhBQ-96,https://mws.com/us/product/abdul-fatawu-A30iGgD9yEupdTKdmoAhBQ-96
2026-09-16T13:14:19.512964+00:00,Archie Gray,Tottenham Hotspur,Right-Back,38000000,Archie Gray,Nottingham Forest - Tottenham Hotspur,"Issued, Signed",200,231,2026-09-16T16:00:00Z,archie-gray-39t8gXzixE6bkZndmPG5NA,https://mws.com/us/product/archie-gray-39t8gXzixE6bkZndmPG5NA
2026-09-16T13:14:19.512964+00:00,Elye Wahi,Olympique Marseille,Centre-Forward,22000000,Elye Wahi,OGC Nice - Le Mans,"Worn, Signed",452,526,2026-09-16T16:00:00Z,elye-wahi-z7tIUYnWCUSUwBL9TasYeQ,https://mws.com/us/product/elye-wahi-z7tIUYnWCUSUwBL9TasYeQ
2026-09-16T13:14:19.512964+00:00,Lucas Bergvall,Tottenham Hotspur,Central Midfield,40000000,Lucas Bergvall,Nottingham Forest - Tottenham Hotspur,"Issued, Signed",289,336,2026-09-16T16:00:00Z,lucas-bergvall-Vr-3K8vH50WxHmeqg80-EQ,https://mws.com/us/product/lucas-bergvall-Vr-3K8vH50WxHmeqg80-EQ
2026-09-16T13:14:19.512964+00:00,Mateus Fernandes,Southampton FC,Central Midfield,32000000,Mateus Fernandes,Nottingham Forest - Tottenham Hotspur,"Issued, Signed",230,265,2026-09-16T16:00:00Z,mateus-fernandes-rKoy_0uaskqw262CCuCH6Q,https://mws.com/us/product/mateus-fernandes-rKoy_0uaskqw262CCuCH6Q
2026-09-16T13:14:19.512964+00:00,Mathys Tel,Tottenham Hotspur,Left Winger,40000000,Mathys Tel,Nottingham Forest - Tottenham Hotspur,"Worn, Signed",751,867,2026-09-16T16:00:00Z,mathys-tel-az8sWbyDj02YfeP31lpKYg,https://mws.com/us/product/mathys-tel-az8sWbyDj02YfeP31lpKYg
2026-09-16T13:14:19.512964+00:00,Sávio,Manchester City,Left Winger,50000000,Sávio ,Nottingham Forest - Tottenham Hotspur,"Issued, Signed",250,288,2026-09-16T16:00:00Z,savio-moreira-de-oliveira-eyFaSBKeLEC89Vy3AcQHKw-91,https://mws.com/us/product/savio-moreira-de-oliveira-eyFaSBKeLEC89Vy3AcQHKw-91
2026-09-16T13:14:19.512964+00:00,Myles Lewis-Skelly,Arsenal FC,Left-Back,45000000,Myles Lewis-Skelly,Arsenal - Chelsea,Worn,1236,1435,2026-09-16T16:30:00Z,myles-lewis-skelly-Os33BAUybkmDkH6V-Yv6vA,https://mws.com/us/product/myles-lewis-skelly-Os33BAUybkmDkH6V-Yv6vA
2026-09-16T13:14:19.512964+00:00,Paul Wanner,1.FC Heidenheim 1846,Attacking Midfield,18000000,Paul Wanner,PSV - Shakhtar Donetsk,"Worn, Signed",201,233,2026-09-16T16:30:00Z,paul-wanner-ubJCuOGtzka5k_R4CXeM2Q,https://mws.com/us/product/paul-wanner-ubJCuOGtzka5k_R4CXeM2Q
2026-09-16T13:14:19.512964+00:00,Givairo Read,Feyenoord Rotterdam,Right-Back,25000000,Givairo Read,FC Barcelona - Feyenoord,"Worn, Signed",610,705,2026-09-16T16:45:00Z,givairo-read-TTiNqSu_SkiiMo543ZbO0w,https://mws.com/us/product/givairo-read-TTiNqSu_SkiiMo543ZbO0w
2026-09-16T13:14:19.512964+00:00,Luciano Valente,FC Groningen,Attacking Midfield,18000000,Luciano Valente,FC Barcelona - Feyenoord,"Worn, Signed",799,923,2026-09-16T16:45:00Z,luciano-valente-VPEnbo7wJUyErMQNuaYWgg,https://mws.com/us/product/luciano-valente-VPEnbo7wJUyErMQNuaYWgg
2026-09-16T13:14:19.512964+00:00,Josh King,Fulham FC,Attacking Midfield,20000000,Josh King,Fulham - Crystal Palace,"Worn, Signed",365,420,2026-09-16T19:00:00Z,josh-king-wBY9V2hxrkO61IK5Q_W5zQ,https://mws.com/us/product/josh-king-wBY9V2hxrkO61IK5Q_W5zQ
2026-09-16T13:14:19.512964+00:00,Oscar Bobb,Manchester City,Right Winger,30000000,Oscar Bobb,Fulham - Crystal Palace,"Worn, Signed",424,492,2026-09-16T19:00:00Z,oscar-bobb-2zUH7Icw-ECSodoGJUapSQ,https://mws.com/us/product/oscar-bobb-2zUH7Icw-ECSodoGJUapSQ
2026-09-16T13:14:19.512964+00:00,Zeno Debast,Sporting CP,Centre-Back,30000000,Zeno Debast,Sporting CP - CD Nacional,"Worn, Signed",300,349,2026-09-16T20:00:00Z,zeno-debast-L26jo5MGTUS8IiImlAKubA,https://mws.com/us/product/zeno-debast-L26jo5MGTUS8IiImlAKubA
2026-09-16T13:14:19.512964+00:00,Désiré Doué,Paris Saint-Germain,Right Winger,90000000,Désiré Doué,Paris Saint-Germain - Slovan Bratislava,"Issued, Signed",600,693,2026-09-17T14:00:00Z,desire-doue-U8F7kAMD602yF-GA4yUevA,https://mws.com/us/product/desire-doue-U8F7kAMD602yF-GA4yUevA
2026-09-16T13:14:19.512964+00:00,João Neves,Paris Saint-Germain,Central Midfield,110000000,João Neves,Paris Saint-Germain - Slovan Bratislava,"Issued, Signed",390,453,2026-09-17T14:00:00Z,joao-neves-hlICqTykHEWibliLLfeEww,https://mws.com/us/product/joao-neves-hlICqTykHEWibliLLfeEww
2026-09-16T13:14:19.512964+00:00,Lucas Beraldo,Paris Saint-Germain,Centre-Back,25000000,Lucas Beraldo,Paris Saint-Germain - Slovan Bratislava,"Worn, Signed",444,513,2026-09-17T14:00:00Z,lucas-beraldo-G_cJlWb8eECiFYm6O05Qfg,https://mws.com/us/product/lucas-beraldo-G_cJlWb8eECiFYm6O05Qfg
2026-09-16T13:14:19.512964+00:00,Senny Mayulu,Paris Saint-Germain,Central Midfield,40000000,Senny Mayulu,Paris Saint-Germain - Slovan Bratislava,"Issued, Signed",269,311,2026-09-17T14:00:00Z,senny-mayulu-36A69AoPokWqK7APaLMA3Q,https://mws.com/us/product/senny-mayulu-36A69AoPokWqK7APaLMA3Q
2026-09-16T13:14:19.512964+00:00,Warren Zaïre-Emery,Paris Saint-Germain,Central Midfield,55000000,Warren Zaïre-Emery,Paris Saint-Germain - Slovan Bratislava,"Issued, Signed",339,392,2026-09-17T14:00:00Z,warren-zaire-emery-wgDF6k7sZE6se1YoBG_GCA,https://mws.com/us/product/warren-zaire-emery-wgDF6k7sZE6se1YoBG_GCA
2026-09-16T13:14:19.512964+00:00,Franco Mastantuono,CA River Plate,Right Winger,50000000,Franco Mastantuono,Venezia FC - ACF Fiorentina,"Worn, Signed",1214,1402,2026-09-18T16:30:00Z,franco-mastantuono-sUDXceaFT0Ca5yg9Xs_70w,https://mws.com/us/product/franco-mastantuono-sUDXceaFT0Ca5yg9Xs_70w
2026-09-16T13:14:19.512964+00:00,Wilfried Gnonto,Leeds United,Right Winger,22000000,Wilfried Gnonto,Venezia FC - ACF Fiorentina,"Worn, Signed",120,140,2026-09-18T16:30:00Z,wilfried-gnonto-01Mm2sSRbkWZ2QduApucdA,https://mws.com/us/product/wilfried-gnonto-01Mm2sSRbkWZ2QduApucdA
2026-09-16T13:14:19.512964+00:00,Lucas Stassin,AS Saint-Étienne,Centre-Forward,18000000,Lucas Stassin,RCD Espanyol De Barcelona - Sevilla FC,"Issued, Signed",72,84,2026-09-18T18:00:00Z,lucas-stassin-artnDvjBukaMhzew8-9-ww,https://mws.com/us/product/lucas-stassin-artnDvjBukaMhzew8-9-ww
2026-09-16T13:14:19.512964+00:00,William Gomes,FC Porto,Right Winger,20000000,William Gomes,FC Porto - Manchester City,"Worn, Signed",281,325,2026-09-18T19:00:00Z,william-gomes-3DzDABDJkkywADaw65NDEQ,https://mws.com/us/product/william-gomes-3DzDABDJkkywADaw65NDEQ
2026-09-16T13:14:19.512964+00:00,El Hadji Malick Diouf,SK Slavia Prague,Left-Back,28000000,El Hadji Malick Diouf,AFC Bournemouth - Brentford,"Worn, Signed",119,138,2026-09-19T14:00:00Z,el-hadji-malick-diouf-ent9pLip90ma9IqtGZRZXw,https://mws.com/us/product/el-hadji-malick-diouf-ent9pLip90ma9IqtGZRZXw
2026-09-16T13:14:19.512964+00:00,Paul Wanner,1.FC Heidenheim 1846,Attacking Midfield,18000000,Paul Wanner,PSV - Sparta Rotterdam,"Worn, Signed",160,185,2026-09-19T14:30:00Z,paul-wanner-Et--DnZ9b0C9iPMd9Lt1aQ,https://mws.com/us/product/paul-wanner-Et--DnZ9b0C9iPMd9Lt1aQ
2026-09-16T13:14:19.512964+00:00,Zeno Debast,Sporting CP,Centre-Back,30000000,Zeno Debast,Sporting CP - Galatasaray S.K.,"Worn, Signed",301,348,2026-09-19T15:00:00Z,zeno-debast-KQz1LbAQH0GtrJqjkFn1lQ,https://mws.com/us/product/zeno-debast-KQz1LbAQH0GtrJqjkFn1lQ
2026-09-16T13:14:19.512964+00:00,Estêvão,Sociedade Esportiva Palmeiras,Right Winger,80000000,Estêvão,Chelsea - Leeds United,"Worn, Signed",892,1029,2026-09-19T18:00:00Z,estevao-EE2HnliVb0CF1DCJ8U_0zg,https://mws.com/us/product/estevao-EE2HnliVb0CF1DCJ8U_0zg
2026-09-16T13:14:19.512964+00:00,Jamie Gittens,Borussia Dortmund,Left Winger,50000000,Jamie Gittens,Chelsea - Leeds United,"Worn, Signed",201,231,2026-09-19T18:00:00Z,jamie-gittens-ySOCbzD0UUyVVqeuMz7OmQ,https://mws.com/us/product/jamie-gittens-ySOCbzD0UUyVVqeuMz7OmQ
2026-09-16T13:14:19.512964+00:00,Levi Colwill,Chelsea FC,Centre-Back,55000000,Levi Colwill,Chelsea - Leeds United,"Worn, Signed",202,233,2026-09-19T18:00:00Z,levi-colwill-Esryz5aGsUm45JZ9fc8bJg,https://mws.com/us/product/levi-colwill-Esryz5aGsUm45JZ9fc8bJg
2026-09-16T13:14:19.512964+00:00,Malo Gusto,Chelsea FC,Right-Back,35000000,Malo Gusto,Chelsea - Leeds United,"Worn, Signed",275,317,2026-09-19T18:00:00Z,malo-gusto-CpRto501r0mfeWArxmyxLQ,https://mws.com/us/product/malo-gusto-CpRto501r0mfeWArxmyxLQ
2026-09-16T13:14:19.512964+00:00,Valentín Barco,RC Strasbourg Alsace,Central Midfield,25000000,Valentín Barco,Chelsea - Leeds United,"Issued, Signed",427,492,2026-09-19T18:00:00Z,valentin-barco-rv8h-4VilUypKS8EWvj3Mw-41,https://mws.com/us/product/valentin-barco-rv8h-4VilUypKS8EWvj3Mw-41
2026-09-16T13:14:19.512964+00:00,Davide Bartesaghi,AC Milan,Left-Back,18000000,Davide Bartesaghi,SS Lazio - AC Milan,Issued,166,191,2026-09-21T16:00:00Z,davide-bartesaghi-OmlPRjhnRk-UJUp24kQuLQ,https://mws.com/us/product/davide-bartesaghi-OmlPRjhnRk-UJUp24kQuLQ
2026-09-16T13:14:19.512964+00:00,Diego Moreira,RC Strasbourg Alsace,Left Midfield,18000000,Diego Moreira,SS Lazio - AC Milan,Issued,310,357,2026-09-21T16:00:00Z,diego-moreira-a96GIPK000CcpslZVTXzqQ,https://mws.com/us/product/diego-moreira-a96GIPK000CcpslZVTXzqQ
2026-09-16T13:14:19.512964+00:00,Désiré Doué,Paris Saint-Germain,Right Winger,90000000,Désiré Doué,Stade Brestois 29 - Paris Saint-Germain,"Issued, Signed",271,313,2026-09-22T14:00:00Z,desire-doue-b0vFiS8ieE2Pi2WUMCYciA,https://mws.com/us/product/desire-doue-b0vFiS8ieE2Pi2WUMCYciA
2026-09-16T13:14:19.512964+00:00,Lucas Beraldo,Paris Saint-Germain,Centre-Back,25000000,Lucas Beraldo,Stade Brestois 29 - Paris Saint-Germain,"Issued, Signed",199,230,2026-09-22T14:00:00Z,lucas-beraldo-FmvicIHl90OI5434CSt5fw,https://mws.com/us/product/lucas-beraldo-FmvicIHl90OI5434CSt5fw
2026-09-16T13:14:19.512964+00:00,Warren Zaïre-Emery,Paris Saint-Germain,Central Midfield,55000000,Warren Zaïre-Emery,Stade Brestois 29 - Paris Saint-Germain,"Worn, Signed",311,359,2026-09-22T14:00:00Z,warren-zaire-emery-aYuKfMuQpUCAmN2dVX-p6Q,https://mws.com/us/product/warren-zaire-emery-aYuKfMuQpUCAmN2dVX-p6Q
