category,rank,name,team,age,position,value
u21,1,Lamine Yamal,FC Barcelona,17,Right Winger,€200.00m
u21,2,João Neves,Paris Saint-Germain,20,Central Midfield,€110.00m
u21,3,Désiré Doué,Paris Saint-Germain,19,Right Winger,€90.00m
u21,4,Arda Güler,Real Madrid,19,Attacking Midfield,€90.00m
u21,5,Estêvão,Chelsea FC,17,Right Winger,€80.00m
u23,1,Lamine Yamal,FC Barcelona,17,Right Winger,€200.00m
u23,2,Jude Bellingham,Real Madrid,21,Attacking Midfield,€180.00m
u23,3,Pedri,FC Barcelona,22,Central Midfield,€140.00m
