checked_at,player_name,transfermarkt_team,position,market_value_eur,mws_name,event_name,labels,current_bid_eur,current_bid_usd,end_date_utc,slug,url
2026-09-19T09:37:02.862398+00:00,Rareș Ilie,Mantova 1911,Mijlocaș ofensiv,1200000,Rareș Ilie,Mantova 1911 - UC Sampdoria,"Worn, Signed",141,163,2026-09-20T13:30:00Z,rare-ilie-FS1P4y2-qUeP3rxyUDQ-zg,https://mws.com/us/product/rare-ilie-FS1P4y2-qUeP3rxyUDQ-zg
2026-09-19T09:37:02.862398+00:00,Radu Drăgușin,ACF Fiorentina,Fundaș central,16000000,Radu Drăgușin,Venezia FC - ACF Fiorentina,"Worn, Signed",151,175,2026-09-22T16:30:00Z,radu-drguin-84g0BA5Ch0mCkwyyxfPwrw,https://mws.com/us/product/radu-drguin-84g0BA5Ch0mCkwyyxfPwrw
