rank,name,team,position,market_value_eur,age,source_url,list_source_url
1,Lamine Yamal,FC Barcelona,Right Winger,200000000,17,https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u19&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
2,Pau Cubarsí,FC Barcelona,Centre-Back,80000000,17,https://www.transfermarkt.com/pau-cubarsi/profil/spieler/962110,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u19&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
3,Estêvão,Sociedade Esportiva Palmeiras,Right Winger,80000000,17,https://www.transfermarkt.com/estevao/profil/spieler/1056993,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u19&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
4,Lennart Karl,Bayern Munich,Attacking Midfield,60000000,16,https://www.transfermarkt.com/lennart-karl/profil/spieler/1075147,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u19&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
5,Ethan Nwaneri,Arsenal FC,Attacking Midfield,55000000,17,https://www.transfermarkt.com/ethan-nwaneri/profil/spieler/890719,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u19&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
6,Franco Mastantuono,CA River Plate,Right Winger,50000000,17,https://www.transfermarkt.com/franco-mastantuono/profil/spieler/1057316,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u19&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
7,Geovany Quenda,Sporting CP,Right Winger,45000000,17,https://www.transfermarkt.com/geovany-quenda/profil/spieler/1138758,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u19&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
8,Luka Vuskovic,KVC Westerlo,Centre-Back,40000000,17,https://www.transfermarkt.com/luka-vuskovic/profil/spieler/892160,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u19&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
9,Rodrigo Mora,FC Porto,Attacking Midfield,40000000,17,https://www.transfermarkt.com/rodrigo-mora/profil/spieler/957653,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u19&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
10,Ayyoub Bouaddi,LOSC Lille,Central Midfield,40000000,17,https://www.transfermarkt.com/ayyoub-bouaddi/profil/spieler/1097139,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u19&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
