rank,name,team,position,market_value_eur,age,source_url,list_source_url
49,Mamadou Sarr,RC Strasbourg Alsace,Centre-Back,25000000,19,https://www.transfermarkt.com/mamadou-sarr/profil/spieler/910905,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
50,Finn Jeltsch,1.FC Nuremberg,Centre-Back,25000000,18,https://www.transfermarkt.com/finn-jeltsch/profil/spieler/924117,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
51,Jean-Mattéo Bahoya,Eintracht Frankfurt,Left Winger,25000000,19,https://www.transfermarkt.com/jean-matteo-bahoya/profil/spieler/939964,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
52,Chris Rigg,Sunderland AFC,Attacking Midfield,25000000,17,https://www.transfermarkt.com/chris-rigg/profil/spieler/947411,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
53,Christos Mouzakitis,Olympiacos Piraeus,Central Midfield,25000000,18,https://www.transfermarkt.com/christos-mouzakitis/profil/spieler/964426,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
54,Givairo Read,Feyenoord Rotterdam,Right-Back,25000000,18,https://www.transfermarkt.com/givairo-read/profil/spieler/997903,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
55,Rayan,Clube de Regatas Vasco da Gama,Right Winger,25000000,18,https://www.transfermarkt.com/rayan/profil/spieler/1012564,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
56,Charalampos Kostoulas,Olympiacos Piraeus,Centre-Forward,25000000,17,https://www.transfermarkt.com/charalampos-kostoulas/profil/spieler/1060087,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
57,Bazoumana Touré,TSG 1899 Hoffenheim,Left Winger,25000000,18,https://www.transfermarkt.com/bazoumana-toure/profil/spieler/1067904,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
58,Honest Ahanor,Genoa CFC,Centre-Back,25000000,16,https://www.transfermarkt.com/honest-ahanor/profil/spieler/1077175,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
59,Giovanni Leoni,Parma Calcio 1913,Centre-Back,25000000,18,https://www.transfermarkt.com/giovanni-leoni/profil/spieler/1086619,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
