rank,name,team,position,market_value_eur,age,source_url,list_source_url
1,Lamine Yamal,FC Barcelona,Right Winger,200000000,17,https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
2,Jude Bellingham,Real Madrid,Attacking Midfield,180000000,21,https://www.transfermarkt.com/jude-bellingham/profil/spieler/581678,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
3,Jamal Musiala,Bayern Munich,Attacking Midfield,140000000,21,https://www.transfermarkt.com/jamal-musiala/profil/spieler/580195,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
4,Florian Wirtz,Bayer 04 Leverkusen,Attacking Midfield,140000000,21,https://www.transfermarkt.com/florian-wirtz/profil/spieler/598577,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
5,João Neves,Paris Saint-Germain,Central Midfield,110000000,20,https://www.transfermarkt.com/joao-neves/profil/spieler/670681,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
6,Arda Güler,Real Madrid,Attacking Midfield,90000000,19,https://www.transfermarkt.com/arda-guler/profil/spieler/861410,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
7,Désiré Doué,Paris Saint-Germain,Right Winger,90000000,19,https://www.transfermarkt.com/desire-doue/profil/spieler/914562,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
8,Pau Cubarsí,FC Barcelona,Centre-Back,80000000,17,https://www.transfermarkt.com/pau-cubarsi/profil/spieler/962110,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
9,Estêvão,Sociedade Esportiva Palmeiras,Right Winger,80000000,17,https://www.transfermarkt.com/estevao/profil/spieler/1056993,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
10,Kenan Yıldız,Juventus FC,Left Winger,75000000,19,https://www.transfermarkt.com/kenan-yildiz/profil/spieler/845654,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
11,Xavi Simons,RB Leipzig,Attacking Midfield,70000000,21,https://www.transfermarkt.com/xavi-simons/profil/spieler/566931,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
12,Benjamin Sesko,RB Leipzig,Centre-Forward,70000000,21,https://www.transfermarkt.com/benjamin-sesko/profil/spieler/627442,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
