rank,name,team,position,market_value_eur,age,source_url,list_source_url
13,Fermín López,FC Barcelona,Attacking Midfield,70000000,21,https://www.transfermarkt.com/fermin-lopez/profil/spieler/636703,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
14,Gavi,FC Barcelona,Central Midfield,70000000,20,https://www.transfermarkt.com/gavi/profil/spieler/646740,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
15,Dean Huijsen,AFC Bournemouth,Centre-Back,70000000,19,https://www.transfermarkt.com/dean-huijsen/profil/spieler/890290,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
16,Aleksandar Pavlovic,Bayern Munich,Defensive Midfield,65000000,20,https://www.transfermarkt.com/aleksandar-pavlovic/profil/spieler/792380,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
17,Nico Paz,Como 1907,Attacking Midfield,65000000,20,https://www.transfermarkt.com/nico-paz/profil/spieler/948294,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
18,Alejandro Balde,FC Barcelona,Left-Back,60000000,21,https://www.transfermarkt.com/alejandro-balde/profil/spieler/636688,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
19,Adam Wharton,Crystal Palace,Defensive Midfield,60000000,20,https://www.transfermarkt.com/adam-wharton/profil/spieler/744149,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
20,Pablo Barrios,Atlético de Madrid,Central Midfield,60000000,21,https://www.transfermarkt.com/pablo-barrios/profil/spieler/775605,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
21,Álvaro Carreras,SL Benfica,Left-Back,60000000,21,https://www.transfermarkt.com/alvaro-carreras/profil/spieler/811778,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
22,Carlos Baleba,Brighton & Hove Albion,Defensive Midfield,60000000,20,https://www.transfermarkt.com/carlos-baleba/profil/spieler/973085,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
23,Lennart Karl,Bayern Munich,Attacking Midfield,60000000,16,https://www.transfermarkt.com/lennart-karl/profil/spieler/1075147,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
24,Levi Colwill,Chelsea FC,Centre-Back,55000000,21,https://www.transfermarkt.com/levi-colwill/profil/spieler/614258,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
25,Warren Zaïre-Emery,Paris Saint-Germain,Central Midfield,55000000,18,https://www.transfermarkt.com/warren-zaire-emery/profil/spieler/810092,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
26,Ethan Nwaneri,Arsenal FC,Attacking Midfield,55000000,17,https://www.transfermarkt.com/ethan-nwaneri/profil/spieler/890719,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
27,Leny Yoro,Manchester United,Centre-Back,55000000,19,https://www.transfermarkt.com/leny-yoro/profil/spieler/923831,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
28,Rayan Cherki,Olympique Lyon,Attacking Midfield,50000000,21,https://www.transfermarkt.com/rayan-cherki/profil/spieler/607223,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
29,Jamie Gittens,Borussia Dortmund,Left Winger,50000000,20,https://www.transfermarkt.com/jamie-gittens/profil/spieler/670882,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
30,Sávio,Manchester City,Left Winger,50000000,20,https://www.transfermarkt.com/savio/profil/spieler/743591,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
31,Kobbie Mainoo,Manchester United,Central Midfield,50000000,19,https://www.transfermarkt.com/kobbie-mainoo/profil/spieler/820374,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
32,Samu Aghehowa,FC Porto,Centre-Forward,50000000,20,https://www.transfermarkt.com/samu-aghehowa/profil/spieler/991268,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
33,Franco Mastantuono,CA River Plate,Right Winger,50000000,17,https://www.transfermarkt.com/franco-mastantuono/profil/spieler/1057316,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
34,Rasmus Højlund,Manchester United,Centre-Forward,45000000,21,https://www.transfermarkt.com/rasmus-hojlund/profil/spieler/610442,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
35,Milos Kerkez,AFC Bournemouth,Left-Back,45000000,21,https://www.transfermarkt.com/milos-kerkez/profil/spieler/730861,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
36,Alejandro Garnacho,Manchester United,Left Winger,45000000,20,https://www.transfermarkt.com/alejandro-garnacho/profil/spieler/811779,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
37,Can Uzun,Eintracht Frankfurt,Attacking Midfield,45000000,19,https://www.transfermarkt.com/can-uzun/profil/spieler/816585,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
38,Myles Lewis-Skelly,Arsenal FC,Left-Back,45000000,18,https://www.transfermarkt.com/myles-lewis-skelly/profil/spieler/890721,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
39,Ousmane Diomande,Sporting CP,Centre-Back,45000000,21,https://www.transfermarkt.com/ousmane-diomande/profil/spieler/974982,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
40,Geovany Quenda,Sporting CP,Right Winger,45000000,17,https://www.transfermarkt.com/geovany-quenda/profil/spieler/1138758,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
41,Yan Diomande,CD Leganés,Right Winger,45000000,18,https://www.transfermarkt.com/yan-diomande/profil/spieler/1390649,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
42,Liam Delap,Ipswich Town,Centre-Forward,40000000,21,https://www.transfermarkt.com/liam-delap/profil/spieler/610849,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
43,Roméo Lavia,Chelsea FC,Defensive Midfield,40000000,20,https://www.transfermarkt.com/romeo-lavia/profil/spieler/628451,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
44,Jarell Quansah,Liverpool FC,Centre-Back,40000000,21,https://www.transfermarkt.com/jarell-quansah/profil/spieler/632349,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
45,Rico Lewis,Manchester City,Right-Back,40000000,20,https://www.transfermarkt.com/rico-lewis/profil/spieler/701057,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
46,Nico O'Reilly,Manchester City,Left-Back,40000000,19,https://www.transfermarkt.com/nico-oreilly/profil/spieler/743413,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
47,Andrey Santos,RC Strasbourg Alsace,Defensive Midfield,40000000,20,https://www.transfermarkt.com/andrey-santos/profil/spieler/743600,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
48,Mathys Tel,Tottenham Hotspur,Left Winger,40000000,19,https://www.transfermarkt.com/mathys-tel/profil/spieler/801734,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
49,Tom Bischof,TSG 1899 Hoffenheim,Central Midfield,40000000,19,https://www.transfermarkt.com/tom-bischof/profil/spieler/822959,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
50,Lucas Bergvall,Tottenham Hotspur,Central Midfield,40000000,18,https://www.transfermarkt.com/lucas-bergvall/profil/spieler/866246,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=2
51,Luka Vuskovic,KVC Westerlo,Centre-Back,40000000,17,https://www.transfermarkt.com/luka-vuskovic/profil/spieler/892160,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
52,Senny Mayulu,Paris Saint-Germain,Central Midfield,40000000,18,https://www.transfermarkt.com/senny-mayulu/profil/spieler/903693,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
53,Jorrel Hato,Ajax Amsterdam,Left-Back,40000000,18,https://www.transfermarkt.com/jorrel-hato/profil/spieler/904802,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
54,Hugo Larsson,Eintracht Frankfurt,Central Midfield,40000000,20,https://www.transfermarkt.com/hugo-larsson/profil/spieler/931838,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
55,Raúl Asencio,Real Madrid,Centre-Back,40000000,21,https://www.transfermarkt.com/raul-asencio/profil/spieler/935245,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
56,Rodrigo Mora,FC Porto,Attacking Midfield,40000000,17,https://www.transfermarkt.com/rodrigo-mora/profil/spieler/957653,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
57,Yankuba Minteh,Brighton & Hove Albion,Right Winger,40000000,20,https://www.transfermarkt.com/yankuba-minteh/profil/spieler/1012534,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
58,Ayyoub Bouaddi,LOSC Lille,Central Midfield,40000000,17,https://www.transfermarkt.com/ayyoub-bouaddi/profil/spieler/1097139,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
59,Said El Mala,FC Viktoria Köln,Left Winger,40000000,18,https://www.transfermarkt.com/said-el-mala/profil/spieler/1168219,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
60,Archie Gray,Tottenham Hotspur,Right-Back,38000000,18,https://www.transfermarkt.com/archie-gray/profil/spieler/922693,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
61,Johan Bakayoko,PSV Eindhoven,Right Winger,35000000,21,https://www.transfermarkt.com/johan-bakayoko/profil/spieler/565424,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
62,Harvey Elliott,Liverpool FC,Attacking Midfield,35000000,21,https://www.transfermarkt.com/harvey-elliott/profil/spieler/565822,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
63,Giorgio Scalvini,Atalanta BC,Centre-Back,35000000,21,https://www.transfermarkt.com/giorgio-scalvini/profil/spieler/571604,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
64,Malo Gusto,Chelsea FC,Right-Back,35000000,21,https://www.transfermarkt.com/malo-gusto/profil/spieler/620322,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
65,Cristhian Mosquera,Valencia CF,Centre-Back,35000000,20,https://www.transfermarkt.com/cristhian-mosquera/profil/spieler/646750,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
66,Jhon Durán,Aston Villa,Centre-Forward,35000000,21,https://www.transfermarkt.com/jhon-duran/profil/spieler/649317,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
67,Matías Soulé,AS Roma,Right Winger,35000000,21,https://www.transfermarkt.com/matias-soule/profil/spieler/668951,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
68,Nathaniel Brown,Eintracht Frankfurt,Left-Back,35000000,21,https://www.transfermarkt.com/nathaniel-brown/profil/spieler/691892,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
69,Omari Hutchinson,Ipswich Town,Right Winger,35000000,21,https://www.transfermarkt.com/omari-hutchinson/profil/spieler/741238,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
70,Abdukodir Khusanov,Manchester City,Centre-Back,35000000,20,https://www.transfermarkt.com/abdukodir-khusanov/profil/spieler/763079,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
71,Ange-Yoan Bonny,Parma Calcio 1913,Centre-Forward,35000000,21,https://www.transfermarkt.com/ange-yoan-bonny/profil/spieler/827734,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
72,Santiago Castro,Bologna FC 1909,Centre-Forward,35000000,20,https://www.transfermarkt.com/santiago-castro/profil/spieler/849520,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
73,Tyler Dibling,Southampton FC,Right Winger,35000000,18,https://www.transfermarkt.com/tyler-dibling/profil/spieler/866655,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
74,Pio Esposito,Spezia Calcio,Centre-Forward,35000000,19,https://www.transfermarkt.com/pio-esposito/profil/spieler/930781,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
75,Vitor Roque,Real Betis Balompié,Centre-Forward,35000000,19,https://www.transfermarkt.com/vitor-roque/profil/spieler/943837,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=3
76,Wesley,CR Flamengo,Right-Back,35000000,21,https://www.transfermarkt.com/wesley/profil/spieler/964580,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u23&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=4
