Nume,Echipă,Post,M.V. (EUR),Vârstă,Țara campionatului,Competiție,Profil Transfermarkt,Lista sursă
Andrei-Cristian Tomaru,FV Neuthard,Fundaș central,,34,Germania,,https://www.transfermarkt.com/andrei-cristian-tomaru/profil/spieler/388298,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Andrei-Darius Visan,FG 08 Mutterstadt,Mijlocaș,,18,Germania,,https://www.transfermarkt.com/andrei-darius-visan/profil/spieler/1580662,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Andrei-Lucian Ulici,Calcio Leinfelden-Echterdingen,Fundaș stânga,,25,Germania,Verbandsliga Württemberg,https://www.transfermarkt.com/andrei-lucian-ulici/profil/spieler/716250,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Andrei-Nicusor Tanasa,FC SeeBern,Mijlocaș,,,Germania,,https://www.transfermarkt.com/andrei-nicusor-tanasa/profil/spieler/1564353,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Andrei-Valentin Precup,SuS Schaag,Atacant,,21,Germania,,https://www.transfermarkt.com/andrei-valentin-precup/profil/spieler/1443455,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Andy Daniel Brumea,Spartakos Kiti,Fundaș stânga,,19,Cipru,2. Division,https://www.transfermarkt.com/andy-daniel-brumea/profil/spieler/1509207,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/188
Anton Moroz,SV Rot-Weiss Wittlich,Fundaș stânga,,25,Germania,Oberliga Rheinland-Pfalz/Saar,https://www.transfermarkt.com/anton-moroz/profil/spieler/750050,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Antonio Acatrinei,Musan Salama,Fundaș stânga,,21,Finland,Kakkonen - Group B,https://www.transfermarkt.com/antonio-acatrinei/profil/spieler/1538689,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/49
Antonio Câmpeanu,Friska Viljor FC,Fundaș central,,24,Suedia,,https://www.transfermarkt.com/antonio-campeanu/profil/spieler/1069889,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/147
Antonio Chițu,VfL Primstal,Atacant secund,,23,Germania,,https://www.transfermarkt.com/antonio-chitu/profil/spieler/570533,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Antonio Claudiu Prisaciuc,ATSV Mutschelbach,Extremă stânga,,24,Germania,,https://www.transfermarkt.com/antonio-claudiu-prisaciuc/profil/spieler/837926,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Aris Drăgulin,SV Croatia Reutlingen,Atacant central,,22,Germania,,https://www.transfermarkt.com/aris-dragulin/profil/spieler/921023,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Arman-Mihai Florea,SF Walsum 09,Portar,,34,Germania,,https://www.transfermarkt.com/arman-mihai-florea/profil/spieler/1174732,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Armand Tirchi,SC Rheinbach,Fundaș central,,24,Germania,Landesliga Mittelrhein Staffel 1,https://www.transfermarkt.com/armand-tirchi/profil/spieler/677155,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Aurel Iosif Ilinca,SV Treptow 46,Fundaș,,,Germania,,https://www.transfermarkt.com/aurel-iosif-ilinca/profil/spieler/918794,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Aurel Matei,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/aurel-matei/profil/spieler/1112009,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Aurel-Misa Ghencian,VfB Pößneck,Atacant central,,23,Germania,,https://www.transfermarkt.com/aurel-misa-ghencian/profil/spieler/1585036,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Aurelian Agapi,MSV Eisleben,Portar,,40,Germania,,https://www.transfermarkt.com/aurelian-agapi/profil/spieler/1205773,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Aurelian Andrei Dumitra,FC Steinbach-Hallenberg,Mijlocaș,,35,Germania,,https://www.transfermarkt.com/aurelian-andrei-dumitra/profil/spieler/609074,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Bedrudin Vraniqi,SV Felsberg,Mijlocaș,,41,Germania,,https://www.transfermarkt.com/bedrudin-vraniqi/profil/spieler/712573,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Ben Binyamin,TuS Ennepetal,Mijlocaș dreapta,,25,Germania,Oberliga Westfalen,https://www.transfermarkt.com/ben-binyamin/profil/spieler/638915,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Beniamin Alin Fer,Afríka Reykjavík,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/beniamin-alin-fer/profil/spieler/887346,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Beniamin Apetrei,TSV Crailsheim,Atacant,,,Germania,,https://www.transfermarkt.com/beniamin-apetrei/profil/spieler/1595636,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/17
Beniamin Chiorean,SV Pasching 16,Mijlocaș,,39,Austria,,https://www.transfermarkt.com/beniamin-chiorean/profil/spieler/310503,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Binu Bairam,Torrent CF,Fundaș dreapta,,25,Spania,,https://www.transfermarkt.com/binu-bairam/profil/spieler/319233,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Bogdan Ardelean,SG Roßbachtal,Atacant,,32,Germania,,https://www.transfermarkt.com/bogdan-ardelean/profil/spieler/448527,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Bogdan Bota,ESV Südstern Singen,Mijlocaș,,24,Germania,,https://www.transfermarkt.com/bogdan-bota/profil/spieler/1513979,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Bogdan Burcea,Korsnäs FF,Mijlocaș dreapta,,23,Finland,,https://www.transfermarkt.com/bogdan-burcea/profil/spieler/994848,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/49
Bogdan Calota,MTV Braunschweig,Mijlocaș,,,Germania,,https://www.transfermarkt.com/bogdan-calota/profil/spieler/938987,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Bogdan Dobrea,FC Wallersdorf,Mijlocaș stânga,,35,Germania,,https://www.transfermarkt.com/bogdan-dobrea/profil/spieler/226769,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Bogdan Gavrilă,ASD San Luca,Extremă dreapta,,34,Italia,,https://www.transfermarkt.com/bogdan-gavrila/profil/spieler/212752,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Bogdan Ionuț Încarcă,SGE Bedburg-Hau II,Mijlocaș dreapta,,29,Germania,,https://www.transfermarkt.com/bogdan-ionut-incarca/profil/spieler/945087,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Bogdan Keszeg,FC United Zürich,Fundaș central,,27,Elveția,,https://www.transfermarkt.com/bogdan-keszeg/profil/spieler/988395,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/148
Bogdan Maciuca,Grün-Weiß Ilsenburg,Mijlocaș,,,Germania,,https://www.transfermarkt.com/bogdan-maciuca/profil/spieler/166209,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Bogdan Muntean,SKV Beienheim,Fundaș,,33,Germania,,https://www.transfermarkt.com/bogdan-muntean/profil/spieler/634563,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Bogdan Niacșu,CD Vicálvaro,Fundaș central,,28,Spania,,https://www.transfermarkt.com/bogdan-niacsu/profil/spieler/428592,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Bogdan Spătaru,FC Bötzingen,Mijlocaș dreapta,,40,Germania,,https://www.transfermarkt.com/bogdan-spataru/profil/spieler/213667,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Bogdan Ungureanu,Girona FC U19,Fundaș central,,18,Spania,,https://www.transfermarkt.com/bogdan-ungureanu/profil/spieler/1237670,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Bogdan Vacarescu,TSV Unken,Atacant,,30,Austria,,https://www.transfermarkt.com/bogdan-vacarescu/profil/spieler/301214,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Brayan Iordaichescu,FC Stengefort,Mijlocaș,,20,Luxembourg,,https://www.transfermarkt.com/brayan-iordaichescu/profil/spieler/1329340,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/99
Brian Eric Crstin,SK Kammer,Mijlocaș,,29,Austria,,https://www.transfermarkt.com/brian-eric-crstin/profil/spieler/447029,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Calin Rus,FC Eintracht Wien,Portar,,40,Austria,,https://www.transfermarkt.com/calin-rus/profil/spieler/337418,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Calin-Gheorghe Iremciuc,SpVgg Durlach-Aue II,Mijlocaș,,33,Germania,,https://www.transfermarkt.com/calin-gheorghe-iremciuc/profil/spieler/1299166,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Casian Samoilă,TuS Kirchberg,Mijlocaș,,25,Germania,Rheinlandliga,https://www.transfermarkt.com/casian-samoila/profil/spieler/796609,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Casian-Matei Ulici,Calcio Leinfelden-Echterdingen,Mijlocaș,,23,Germania,Verbandsliga Württemberg,https://www.transfermarkt.com/casian-matei-ulici/profil/spieler/1160500,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Cassiano Cozma,NK Ormoz,Mijlocaș central,,19,Slovenia,,https://www.transfermarkt.com/cassiano-cozma/profil/spieler/1437892,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/155
Catalin Oros,Gullfálkinn,Portar,,,Islanda,,https://www.transfermarkt.com/catalin-oros/profil/spieler/887339,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Catalin-Viorel Zlataru,SV Westring Gotha,Atacant,,32,Germania,,https://www.transfermarkt.com/catalin-viorel-zlataru/profil/spieler/1304848,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Cazimir Buturugă,Türkspor Neckarsulm,Mijlocaș central,,22,Germania,Oberliga Baden-Württemberg,https://www.transfermarkt.com/cazimir-buturuga/profil/spieler/731523,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Călin Fildan,Füzesgyarmati SK,Portar,,38,Ungaria,,https://www.transfermarkt.com/calin-fildan/profil/spieler/208674,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Cătălin Aromanesi,SC March,Atacant,,28,Germania,,https://www.transfermarkt.com/catalin-aromanesi/profil/spieler/1287596,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Cătălin Banienschi,ASD Bressana,Fundaș stânga,,23,Italia,,https://www.transfermarkt.com/catalin-banienschi/profil/spieler/703744,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/3
Cătălin Teleru,SVG Steinheim,Atacant central,,24,Germania,,https://www.transfermarkt.com/catalin-teleru/profil/spieler/988384,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Cătălin-Ionel Pintea,DJK Rasensport Brand 04,Atacant,,28,Germania,Landesliga Mittelrhein Staffel 2,https://www.transfermarkt.com/catalin-ionel-pintea/profil/spieler/956394,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Cătălin-Ionuț Crețiu,Siegburger SV 04 II,Portar,,30,Germania,,https://www.transfermarkt.com/catalin-ionut-cretiu/profil/spieler/934428,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Cezar Paraschiv,SSG Halvestorf/Herkendorf II,Mijlocaș stânga,,36,Germania,,https://www.transfermarkt.com/cezar-paraschiv/profil/spieler/453167,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Christian Retzler,Blau-Weiß 90 Berlin II,Fundaș,,31,Germania,,https://www.transfermarkt.com/christian-retzler/profil/spieler/1147878,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Christian Vechiu,AC Milan Primavera,Fundaș central,,18,Italia,Primavera 1,https://www.transfermarkt.com/christian-vechiu/profil/spieler/1120617,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Ciprian Brata,ASK Marz,Mijlocaș stânga,,35,Austria,,https://www.transfermarkt.com/ciprian-brata/profil/spieler/156616,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Ciprian Dombrovoschi,FBC Calangianus,Fundaș central,,32,Italia,,https://www.transfermarkt.com/ciprian-dombrovoschi/profil/spieler/133977,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Ciprian Pop,Red Star FC B,Portar,,21,Franța,Championnat National 2 - Groupe D,https://www.transfermarkt.com/ciprian-pop/profil/spieler/1185437,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/50
Ciprian Ungureanu,SV Rot-Weiß Weißenfels,Portar,,32,Germania,,https://www.transfermarkt.com/ciprian-ungureanu/profil/spieler/343947,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Claudiu Dorobantu,FK Srbija Mannheim,Mijlocaș,,20,Germania,,https://www.transfermarkt.com/claudiu-dorobantu/profil/spieler/1573991,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Claudiu Gabriel Baicu,Buxtehuder SV,Mijlocaș,,,Germania,,https://www.transfermarkt.com/claudiu-gabriel-baicu/profil/spieler/1579427,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Claudiu Golopenta,SC Wiener Viktoria II,Atacant,,23,Austria,,https://www.transfermarkt.com/claudiu-golopenta/profil/spieler/1005002,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Claudiu Magdalena,DSG Lokomotive Traisen,Fundaș,,48,Austria,,https://www.transfermarkt.com/claudiu-magdalena/profil/spieler/336677,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Claudiu Pascariu,SV Schalchen,Fundaș central,,37,Austria,,https://www.transfermarkt.com/claudiu-pascariu/profil/spieler/208815,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Claudiu Savianu,SFC Neuilly-sur-Marne,Mijlocaș central,,20,Franța,Championnat National 2 - Groupe E,https://www.transfermarkt.com/claudiu-savianu/profil/spieler/1040569,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/50
Claudiu-Iulian Burca,SV Treptow 46,Portar,,,Germania,,https://www.transfermarkt.com/claudiu-iulian-burca/profil/spieler/1589507,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
Codrin Peii,VfL Waldkraiburg,Atacant central,,,Germania,,https://www.transfermarkt.com/codrin-peii/profil/spieler/729719,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Constantin Arotăriței,FC Romania,Mijlocaș,,32,Anglia,,https://www.transfermarkt.com/constantin-arotaritei/profil/spieler/242109,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Constantin Luchita,Delmenhorster TB,Mijlocaș dreapta,,33,Germania,,https://www.transfermarkt.com/constantin-luchita/profil/spieler/592037,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Constantin Popescu,AS Ribeauvillé,Atacant,,44,Franța,,https://www.transfermarkt.com/constantin-popescu/profil/spieler/865148,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/50
Constantin-Adrian Băcilă,Bulgaria Hamburg,Mijlocaș,,,Germania,,https://www.transfermarkt.com/constantin-adrian-bacila/profil/spieler/725064,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Corneliu Roga,TSV Ottersberg II,Atacant,,29,Germania,,https://www.transfermarkt.com/corneliu-roga/profil/spieler/1293374,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Cosmin Andrei,FG Marktbreit-Martinsheim,Portar,,32,Germania,,https://www.transfermarkt.com/cosmin-andrei/profil/spieler/258400,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Cosmin Dragomir,Real Monterotondo,Fundaș stânga,,20,Italia,,https://www.transfermarkt.com/cosmin-dragomir/profil/spieler/1185124,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Cosmin Florin Paina,TuS Rumbach,Mijlocaș,,,Germania,,https://www.transfermarkt.com/cosmin-florin-paina/profil/spieler/507279,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Cosmin Mădălin Imbrea,Gullfálkinn,Portar,,,Islanda,,https://www.transfermarkt.com/cosmin-madalin-imbrea/profil/spieler/887344,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Cosmin Negruț,FC Türk Gücü Helmstedt II,Mijlocaș,,,Germania,,https://www.transfermarkt.com/cosmin-negrut/profil/spieler/1359917,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Cosmin Oprean,Sporting Cabanillas,Fundaș central,,25,Spania,,https://www.transfermarkt.com/cosmin-oprean/profil/spieler/1556745,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/3
Cosmin Prodan,SGM 08 Schramberg/SV Sulgen,Mijlocaș,,,Germania,,https://www.transfermarkt.com/cosmin-prodan/profil/spieler/1193762,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Cosmin Sandu,FC Romania,Fundaș,,40,Anglia,,https://www.transfermarkt.com/cosmin-sandu/profil/spieler/289152,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Cosmin Uilăcan,TSV Ustersbach,Mijlocaș ofensiv,,45,Germania,,https://www.transfermarkt.com/cosmin-uilacan/profil/spieler/6262,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Cosmin-Adrian Ichim,FC Rehau,Atacant central,,43,Germania,,https://www.transfermarkt.com/cosmin-adrian-ichim/profil/spieler/67107,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Cosmin-Vasile Ciuntu,FV Walbertsweiler-Rengetsweiler,Atacant,,,Germania,,https://www.transfermarkt.com/cosmin-vasile-ciuntu/profil/spieler/652474,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Costel Răuță,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/costel-rauta/profil/spieler/1112007,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Cristi Ioniță Floreanu,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/cristi-ionita-floreanu/profil/spieler/1112011,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Cristian Alexandru Dan,TSV Lengfeld (Bay.),Atacant central,,39,Germania,,https://www.transfermarkt.com/cristian-alexandru-dan/profil/spieler/156004,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Cristian Bodea,SKV Beienheim,Mijlocaș stânga,,34,Germania,,https://www.transfermarkt.com/cristian-bodea/profil/spieler/634557,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Cristian Boldea,SV Pappelau-Beiningen,Mijlocaș ofensiv,,40,Germania,,https://www.transfermarkt.com/cristian-boldea/profil/spieler/241261,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Cristian Cenușă,SV 1965 Erlenbach,Atacant central,,49,Germania,,https://www.transfermarkt.com/cristian-cenusa/profil/spieler/387689,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Cristian Ciubotariu,SpVgg Edenkoben,Extremă stânga,,45,Germania,,https://www.transfermarkt.com/cristian-ciubotariu/profil/spieler/46519,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Cristian Creangă,SF Baumberg U19,Portar,,18,Germania,,https://www.transfermarkt.com/cristian-creanga/profil/spieler/1255693,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Cristian Dică,Türk Gücü Hanau,Portar,,29,Germania,,https://www.transfermarkt.com/cristian-dica/profil/spieler/870371,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Cristian Hardău,SV Gumpersdorf,Atacant central,,47,Germania,,https://www.transfermarkt.com/cristian-hardau/profil/spieler/168275,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Cristian Luca,VfL Waldkraiburg II,Atacant central,,53,Germania,,https://www.transfermarkt.com/cristian-luca/profil/spieler/123262,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Cristian Mihai Todericiu,SV Viktoria Kirchworbis,Mijlocaș,,38,Germania,,https://www.transfermarkt.com/cristian-mihai-todericiu/profil/spieler/693151,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Cristian Paul,SC Rabenstein,Fundaș dreapta,,30,Austria,,https://www.transfermarkt.com/cristian-paul/profil/spieler/379205,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Cristian Podina,SC Alland,Fundaș stânga,,27,Austria,,https://www.transfermarkt.com/cristian-podina/profil/spieler/368941,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Cristian Purcică,SC Danubius Waldkraiburg,Mijlocaș,,,Germania,,https://www.transfermarkt.com/cristian-purcica/profil/spieler/729724,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Cristian Radu Stoican,FC Lustadt,Mijlocaș ofensiv,,40,Germania,,https://www.transfermarkt.com/cristian-radu-stoican/profil/spieler/499839,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Cristian Tuser,Hellas United,Atacant,,,Germania,,https://www.transfermarkt.com/cristian-tuser/profil/spieler/1298498,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Cristian Vasile,Marbella FC U19,Atacant central,,17,Spania,,https://www.transfermarkt.com/cristian-vasile/profil/spieler/1060703,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Cristian Voicu,SV Straelen,Atacant secund,,36,Germania,,https://www.transfermarkt.com/cristian-voicu/profil/spieler/573125,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Cristian-Gabriel Dragan,ASK Marz II,Mijlocaș,,21,Austria,,https://www.transfermarkt.com/cristian-gabriel-dragan/profil/spieler/1406573,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/3
D. Todoran,SV Germania Ilmenau,Mijlocaș,,17,Germania,,https://www.transfermarkt.com/d-todoran/profil/spieler/1590504,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/17
Damian Constantin,Salzburger AK 1914,Mijlocaș,,21,Austria,Salzburger Liga,https://www.transfermarkt.com/damian-constantin/profil/spieler/1516747,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/4
Damian Dima,SpVgg EGC Wirges U19,Atacant,,19,Germania,,https://www.transfermarkt.com/damian-dima/profil/spieler/1309580,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Dan Constantinescu,Calcio Leinfelden-Echterdingen,Fundaș central,,32,Germania,Verbandsliga Württemberg,https://www.transfermarkt.com/dan-constantinescu/profil/spieler/341749,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Dan Constantinescu,Gyulai FC,Atacant secund,,30,Ungaria,,https://www.transfermarkt.com/dan-constantinescu/profil/spieler/423083,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Dan Malcoci,SV Sternburg Lützschena-Stahmeln,Atacant,,31,Germania,,https://www.transfermarkt.com/dan-malcoci/profil/spieler/495448,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Dan Zaharia,TuS Lemförde,Portar,,44,Germania,,https://www.transfermarkt.com/dan-zaharia/profil/spieler/153513,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Daniel Agachi,SV Fohnsdorf,Mijlocaș,,44,Austria,,https://www.transfermarkt.com/daniel-agachi/profil/spieler/1114772,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/2
Daniel Alexandru Nedelcia,SV Bubsheim,Fundaș,,,Germania,,https://www.transfermarkt.com/daniel-alexandru-nedelcia/profil/spieler/1282603,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Daniel Bîlea,Taloro Gavoi,Fundaș dreapta,,27,Italia,,https://www.transfermarkt.com/daniel-bilea/profil/spieler/399882,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Daniel Burcea,Lampeter FC,Mijlocaș central,,30,Țara Galilor,,https://www.transfermarkt.com/daniel-burcea/profil/spieler/332669,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/191
Daniel Cazan,FC Rhenania Mariaweiler,Fundaș central,,37,Germania,,https://www.transfermarkt.com/daniel-cazan/profil/spieler/412276,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
