Nume,Echipă,Post,M.V. (EUR),Vârstă,Țara campionatului,Competiție,Profil Transfermarkt,Lista sursă
Ioan Vermeșan,Hellas Verona,Atacant central,1000000,19,Italia,Serie B,https://www.transfermarkt.com/ioan-vermesan/profil/spieler/928037,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Mihai Popa,Motor Lublin,Portar,1000000,25,Polonia,PKO BP Ekstraklasa,https://www.transfermarkt.com/mihai-popa/profil/spieler/623412,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/135
Vladislav Blănuță,Lechia Gdansk,Atacant central,1000000,24,Polonia,Betclic 1 Liga,https://www.transfermarkt.com/vladislav-blanuta/profil/spieler/706166,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/135
Enes Sali,FC Andorra,Extremă stânga,900000,20,Andorra,LaLiga2,https://www.transfermarkt.com/enes-sali/profil/spieler/875252,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/5
Valentin Costache,FC Noah Yerevan,Mijlocaș dreapta,900000,28,Armenia,Premier League,https://www.transfermarkt.com/valentin-costache/profil/spieler/341391,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/10
Daniel Paraschiv,Ihud Bnei Sakhnin,Atacant central,800000,27,Israel,Ligat ha'Al,https://www.transfermarkt.com/daniel-paraschiv/profil/spieler/605543,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/74
Denis Radu,Kayserispor,Extremă dreapta,800000,23,Turcia,1.Lig,https://www.transfermarkt.com/denis-radu/profil/spieler/641989,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/174
Alexandru Ișfan,Real Oviedo,Atacant central,750000,26,Spania,LaLiga2,https://www.transfermarkt.com/alexandru-isfan/profil/spieler/672055,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Cătălin Itu,CSKA Sofia,Extremă stânga,750000,26,Bulgaria,efbet Liga,https://www.transfermarkt.com/catalin-itu/profil/spieler/464306,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/28
Alexandru Pantea,Levadiakos,Fundaș dreapta,700000,22,Grecia,Super League 1,https://www.transfermarkt.com/alexandru-pantea/profil/spieler/670828,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/56
Florin Ștefan,Gaziantep FK,Fundaș stânga,700000,30,Turcia,Süper Lig,https://www.transfermarkt.com/florin-stefan/profil/spieler/320637,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/174
Ștefan Vlădoiu,ETO FC,Fundaș dreapta,700000,27,Ungaria,Nemzeti Bajnokság,https://www.transfermarkt.com/stefan-vladoiu/profil/spieler/451603,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Valentin Cojocaru,Pogon Szczecin,Portar,700000,30,Polonia,PKO BP Ekstraklasa,https://www.transfermarkt.com/valentin-cojocaru/profil/spieler/200616,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/135
Kevin Ciubotaru,Dundee United FC,Fundaș stânga,600000,22,Scoția,Scottish Premiership,https://www.transfermarkt.com/kevin-ciubotaru/profil/spieler/710076,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/190
Mihai Căpățînă,Ordabasy Shymkent,Mijlocaș central,600000,30,Kazahstan,Premier Liga,https://www.transfermarkt.com/mihai-capatina/profil/spieler/292201,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/81
Antonio Sefer,Ihud Bnei Sakhnin,Extremă dreapta,500000,26,Israel,Ligat ha'Al,https://www.transfermarkt.com/antonio-sefer/profil/spieler/376571,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/74
Rareș Burnete,FC Südtirol,Atacant central,500000,22,Italia,Serie B,https://www.transfermarkt.com/rares-burnete/profil/spieler/731525,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Raul Bălbărău,Ihud Bnei Sakhnin,Portar,500000,25,Israel,Ligat ha'Al,https://www.transfermarkt.com/raul-balbarau/profil/spieler/900040,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/74
Adrian Caragea,PAOK Thessaloniki B,Extremă stânga,450000,20,Grecia,Super League 2,https://www.transfermarkt.com/adrian-caragea/profil/spieler/723836,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/56
Atanas Trică,AEK Larnaca,Atacant central,450000,22,Cipru,Cyprus League,https://www.transfermarkt.com/atanas-trica/profil/spieler/896370,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/188
Efraim Bödő,ETO FC,Mijlocaș ofensiv,450000,19,Ungaria,Nemzeti Bajnokság,https://www.transfermarkt.com/efraim-bodo/profil/spieler/1304982,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Andrei Dragu,Shafa Baku,Fundaș stânga,400000,26,Azerbaidjan,Premyer Liqa,https://www.transfermarkt.com/andrei-dragu/profil/spieler/536129,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/13
Andrei Toroc,Bologna Primavera,Mijlocaș central,400000,19,Italia,Primavera 1,https://www.transfermarkt.com/andrei-toroc/profil/spieler/1112944,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Claudiu Bumba,ETO FC,Mijlocaș ofensiv,400000,32,Ungaria,Nemzeti Bajnokság,https://www.transfermarkt.com/claudiu-bumba/profil/spieler/186731,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Marco Dulca,Kayserispor,Mijlocaș defensiv,400000,27,Turcia,1.Lig,https://www.transfermarkt.com/marco-dulca/profil/spieler/391445,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/174
Raul Marita,SpVgg Greuther Fürth II,Fundaș stânga,400000,19,Germania,Regionalliga Bayern,https://www.transfermarkt.com/raul-marita/profil/spieler/1034889,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Vasile Mogoș,SSC Bari,Fundaș dreapta,400000,33,Italia,Serie C - Girone C,https://www.transfermarkt.com/vasile-mogos/profil/spieler/324214,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Andrei Florea,MSK Zilina,Mijlocaș central,350000,21,Slovacia,Niké Liga,https://www.transfermarkt.com/andrei-florea/profil/spieler/925843,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/154
Vlad Pop,Shafa Baku,Mijlocaș central,350000,26,Azerbaidjan,Premyer Liqa,https://www.transfermarkt.com/vlad-pop/profil/spieler/341374,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/13
Alexandru Maxim,Gaziantep FK,Mijlocaș ofensiv,300000,36,Turcia,Süper Lig,https://www.transfermarkt.com/alexandru-maxim/profil/spieler/129513,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/174
