checked_at,player_name,transfermarkt_team,position,market_value_eur,mws_name,event_name,labels,current_bid_eur,current_bid_usd,end_date_utc,slug,url
2026-09-06T11:20:47.837995+00:00,Ioan Vermeșan,Hellas Verona,Atacant central,1000000,Ioan Vermesan,Calcio Padova - Hellas Verona FC,"Issued, Signed",68,80,2026-09-07T16:00:00Z,ioan-vermesan-20kkpqv2nk6a80R5BMjSzg,https://mws.com/us/product/ioan-vermesan-20kkpqv2nk6a80R5BMjSzg
2026-09-06T11:20:47.837995+00:00,Radu Drăgușin,ACF Fiorentina,Fundaș central,16000000,Radu Drăgușin,ACF Fiorentina - Frosinone,"Issued, Signed",363,422,2026-09-09T16:30:00Z,radu-drguin-2zfxoES_jkWDkU1Fy1O_xQ-51,https://mws.com/us/product/radu-drguin-2zfxoES_jkWDkU1Fy1O_xQ-51
2026-09-06T11:20:47.837995+00:00,Radu Drăgușin,ACF Fiorentina,Fundaș central,16000000,Radu Drăgușin,ACF Fiorentina - Torino FC,"Worn, Signed",121,140,2026-09-14T16:00:00Z,radu-drguin-MBsfL62RVkGR5U9osKYxTQ,https://mws.com/us/product/radu-drguin-MBsfL62RVkGR5U9osKYxTQ
